,drainJ,Bernoulli
0,2937565.541249999,0.003897116134060795
1,4873803.291,0.0029228371005455963
2,6958619.2125,0.001558846453624318
3,1851254.8380000002,0.0019485580670303975
4,3800012.0849999995,0.0005845674201091193
5,1808960.391,0.0009742790335151987
6,4038587.775,0.0013639906469212783
7,5611055.489999999,0.0013639906469212783
8,4297469.364,0.0009742790335151987
9,5155112.295,0.0009742790335151987
10,7314635.069999998,0.0009742790335151987
11,4019152.6350000002,0.0013639906469212783
12,2112770.4659999995,0.0009742790335151987
13,7104372.3,0.0003897116134060795
14,8945701.992,0.0009742790335151987
15,5832193.68,0.0005845674201091193
16,842875.74,0.0003897116134060795
17,2585313.0450000004,0.0005845674201091193
18,3901179.5775000006,0.000779423226812159
19,4030526.4187499997,0.000779423226812159
20,16725980.25,0.00019485580670303975
21,2537261.92125,0.000779423226812159
22,10081865.88,0.0005845674201091193
23,8054546.208749999,0.000779423226812159
24,4574713.600588235,0.003312548713951676
25,4611429.909204546,0.00857365549493375
26,5187098.83395349,0.00837879968823071
27,3215705.0164772724,0.00857365549493375
28,4702191.267857143,0.00818394388152767
29,4566345.569999999,0.011301636788776305
30,5185156.299868422,0.022213561964146533
31,4167648.660472442,0.02474668745128605
32,4196554.985650685,0.028448947778643804
33,4184520.4584319526,0.032930631332813716
34,4144780.851206898,0.033904910366328915
35,4161421.171578949,0.0333203429462198
36,4700539.185300001,0.0681995323460639
37,5111485.089420129,0.08904910366328916
38,4417839.367941177,0.09937646141855028
39,4679404.633781727,0.1151597817614965
40,4301517.1599026965,0.13016367887763056
41,4739312.259374999,0.1543257989088075
42,4457682.4602701245,0.17673421667965705
43,4604518.5143534485,0.2034294621979735
44,4340585.997469325,0.19056897895557287
45,4386748.437605476,0.17088854247856586
46,4163165.337872995,0.15802805923616522
47,3748245.973616394,0.13308651597817614
48,3944901.1043807375,0.127435697583788
49,4105646.91325375,0.14282930631332813
50,3709939.443530976,0.11009353078721745
51,3694610.198030592,0.10190958690568978
52,3703391.9437500015,0.10288386593920498
53,3746200.7128083715,0.08846453624318004
54,3073037.5898901112,0.08865939204988309
55,3840884.4027966107,0.08047544816835542
56,3556725.6323949597,0.0695635229929852
57,3374536.0629207925,0.059041309431021045
58,3217980.821759998,0.04871395167575994
59,3217022.9787162156,0.04325798908807482
60,3046777.0071428553,0.04228371005455962
61,2958627.0994019136,0.04072486360093531
62,2719540.0734868427,0.044427123928293066
63,2395193.561052632,0.04072486360093531
64,2228459.433226744,0.03351519875292284
65,1905303.4303072637,0.034879189399844114
66,1799043.4330434785,0.0313717848791894
67,2134684.3154210537,0.03702260327357755
68,2313311.6975373137,0.03916601714731099
69,1848033.8286057697,0.04053000779423227
70,1502313.2441921392,0.044621979734996105
71,1346519.103419118,0.05300077942322681
72,1145796.175546874,0.04988308651597818
